#       Hden       Metals            T         Htot         Ctot       MolWgt         dens
-6.000000000000000000e+00 -2.000000000000000000e+00 1.000000000000000000e+03 3.857999999999999986e-35 6.996399999999999681e-37 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 1.122000000000000000e+03 3.588000000000000012e-35 7.314600000000000050e-37 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 1.258900000000000091e+03 3.336099999999999846e-35 7.607399999999999986e-37 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 1.412500000000000000e+03 3.100900000000000011e-35 7.873399999999999545e-37 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 1.584900000000000091e+03 2.881500000000000080e-35 8.113299999999999534e-37 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 1.778299999999999955e+03 2.676899999999999814e-35 8.328799999999999528e-37 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 1.995299999999999955e+03 2.486100000000000046e-35 8.527999999999999567e-37 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 2.238699999999999818e+03 2.308299999999999891e-35 8.710000000000000759e-37 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 2.511900000000000091e+03 2.142599999999999990e-35 8.879199999999999353e-37 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 2.818400000000000091e+03 1.988300000000000070e-35 9.040099999999999825e-37 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 3.162300000000000182e+03 1.844600000000000048e-35 9.197100000000000092e-37 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 3.548099999999999909e+03 1.710799999999999919e-35 9.361299999999999837e-37 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 3.981099999999999909e+03 1.586199999999999943e-35 9.528900000000000403e-37 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 4.466800000000000182e+03 1.470400000000000078e-35 9.702999999999999639e-37 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 5.011899999999999636e+03 1.362599999999999976e-35 9.885899999999999723e-37 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 5.623399999999999636e+03 1.262300000000000051e-35 1.007999999999999937e-36 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 6.309600000000000364e+03 1.169099999999999995e-35 1.029799999999999962e-36 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 7.079500000000000000e+03 1.082499999999999955e-35 1.052999999999999932e-36 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 7.943300000000000182e+03 1.001900000000000005e-35 1.077799999999999935e-36 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 8.912500000000000000e+03 9.270799999999999460e-36 1.104199999999999970e-36 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 1.000000000000000000e+04 8.574999999999999770e-36 1.132500000000000003e-36 5.939999999999999725e-01 2.210000000000000114e-30
-6.000000000000000000e+00 -2.000000000000000000e+00 1.122000000000000000e+04 7.928699999999999541e-36 1.164499999999999985e-36 5.939999999999999725e-01 2.210000000000000114e-30
